case_id,oracle_actions,deploy.restart_loops,deploy.restart_burst_count,deploy.restart_window_seconds,deploy.pipeline_failed,deploy.config_drift,deploy.artifact_mismatch,deploy.rollback_marker,sre.p95_latency_ms,sre.error_rate_pct,sre.saturation_pct,sre.availability_pct,finops.cost_spike_pct,finops.hpa_scale_to,finops.cpu_request_increase_pct,finops.memory_request_increase_pct,sec.critical_cves,sec.policy_violation,sec.iam_drift,sec.compliance_gap
HRT-01,No action (observe),0.0,,,,,,,,,,99.9,0.0,,,,,,,
HRT-02,Mitigate and monitor,0.0,,,,,,,,,,0.0,0.0,,,,,,,
HRT-03,Review scaling policy|Scale adjustment,0.0,,,,,,,,,,99.9,33.333333,,,,,,,
HRT-04,Rollback to stable deployment,4.0,4.0,76.10124,,,,,,,,99.9,0.0,,,,,,,
HRT-05,Rollback to stable deployment,3.0,3.0,60.768176,,,,,,,,99.9,0.0,,,,,,,
HRT-06,Rollback to stable deployment,4.0,4.0,78.811996,,,,,181.811556,4.882368,,99.9,0.0,,,,,,,
HRT-07,Scale adjustment,0.0,,,,,,,2002.227014,4.615385,,99.9,33.333333,,,,,,,
HRT-08,Patch or block release,0.0,,,,1.0,,,,,,99.9,0.0,,,,,1.0,,
HRT-09,Patch or block release,0.0,,,,1.0,,,256.655944,0.0,,99.9,0.0,,,,,1.0,,
HRT-10,Rollback to stable deployment,0.0,,,,1.0,,,2005.821097,99.988426,,99.9,33.333333,,,,,,,
HRT-11,Mitigate and monitor,0.0,,,,,,,2005.879159,100.0,,99.9,0.0,,,,,,,
HRT-12,Review scaling policy|Scale adjustment,0.0,,,,,,,,,,99.9,33.333333,,,,,,,
HRT-13,Patch or block release,4.0,4.0,76.474149,,1.0,,,,,,99.9,0.0,,,,,1.0,,
