incident_id,scenario_type,telemetry_parse_ms,pipeline_ms,llm_ms,total_ms,rar_triggered,rar_loops,consensus_score,utility_score
SC-01,Deployment failures,0,1,0,1,True,1,0.5673540242053218,0.23500000000000004
SC-02,Deployment failures,0,1,0,1,True,1,0.4789508109748864,0.15700000000000003
SC-03,Deployment failures,0,1,0,1,True,1,0.5046584033773805,0.23500000000000004
SC-04,Deployment failures,0,2,0,2,True,1,0.49363674310495825,0.23500000000000004
SC-05,Cost anomalies,0,1,0,1,True,1,0.4936367431049582,0.22500000000000003
SC-06,Cost anomalies,0,1,0,1,True,1,0.4936367431049582,0.22500000000000003
SC-07,Cost anomalies,0,1,0,1,True,1,0.48799173671071405,0.14800000000000002
SC-08,Cost anomalies,0,1,0,1,True,1,0.5020155355829393,0.25099999999999995
SC-09,Security violations,0,1,0,1,True,1,0.5129917367107141,0.13500000000000006
SC-10,Security violations,0,1,0,1,True,1,0.4965206908719885,0.15500000000000008
SC-11,Security violations,0,1,0,1,True,1,0.481608612496841,0.24100000000000005
SC-12,Security violations,0,2,0,2,True,1,0.5548540242053218,0.23500000000000004
SC-13,Reliability degradations,0,0,0,0,False,0,0.8155931089239488,0.10100000000000006
SC-14,Reliability degradations,0,1,0,1,True,1,0.5546381685135416,0.255
SC-15,Reliability degradations,0,1,0,1,True,1,0.44561747764155313,0.23500000000000004
SC-16,Reliability degradations,0,1,0,1,True,1,0.7260310363079828,0.07200000000000004
SC-17,Compliance preparation,0,1,0,1,True,1,0.6755843911969089,0.22250000000000003
SC-18,Compliance preparation,0,2,0,2,True,1,0.4936367431049582,0.265
SC-19,Compliance preparation,0,1,0,1,True,1,0.6768863191068558,0.12900000000000006
SC-20,Resource scaling,0,1,0,1,True,1,0.4732752791635077,0.27499999999999997
SC-21,Resource scaling,0,1,0,1,True,1,0.40324851970871783,0.265
SC-22,Resource scaling,0,1,0,1,True,1,0.590876342786265,0.15300000000000002
SC-23,Incident review,0,1,0,1,True,1,0.46077527916350763,0.295
SC-24,Incident review,0,2,0,2,True,1,0.4754917367107141,0.11700000000000005
SC-25,Incident review,0,1,0,1,True,1,0.6755843911969089,0.21950000000000003
SC-26,Policy propagation,0,1,0,1,True,1,0.5061367431049583,0.265
SC-27,Policy propagation,0,1,0,1,True,1,0.5937287392826325,0.265
SC-28,Cost–performance simulation,0,1,0,1,True,1,0.49632507004404736,0.24700000000000003
SC-29,Cost–performance simulation,0,1,0,1,True,1,0.5066086124968411,0.23500000000000004
SC-30,Anomaly-to-insight,0,1,0,1,True,1,0.49827527916350767,0.22500000000000003
