CONTAINER ID   NAME                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a1b3d68a6891   docker-compose-catalogue-db-1   0.44%     228.5MiB / 3.827GiB   5.83%     30.6kB / 113kB    35.6MB / 13.2MB   29
ca2e131a2cc5   docker-compose-carts-db-1       1.22%     63.96MiB / 3.827GiB   1.63%     137kB / 152kB     23MB / 2.49MB     23
6e7a674b7bed   docker-compose-orders-db-1      1.80%     56.8MiB / 3.827GiB    1.45%     50.1kB / 43.1kB   16.9MB / 2.26MB   23
14489b9afc46   docker-compose-rabbitmq-1       1.75%     113.5MiB / 3.827GiB   2.90%     26.8kB / 23.1kB   30MB / 135kB      145
f6499e7f64ac   docker-compose-user-1           0.00%     26.8MiB / 3.827GiB    0.68%     225kB / 216kB     8.62MB / 0B       13
3af099106cc9   docker-compose-payment-1        0.00%     17.91MiB / 3.827GiB   0.46%     23.9kB / 7.44kB   7.96MB / 0B       9
fc4c33298201   docker-compose-orders-1         5.55%     469.6MiB / 3.827GiB   11.98%    129kB / 162kB     39.5MB / 0B       53
d016a2ae56a0   docker-compose-queue-master-1   0.42%     664.9MiB / 3.827GiB   16.97%    20.4kB / 10.4kB   28MB / 0B         70
1b87304437ac   docker-compose-user-db-1        2.12%     137.8MiB / 3.827GiB   3.52%     115kB / 151kB     38.6MB / 2.22MB   21
0c2a271e0f80   docker-compose-front-end-1      0.00%     319MiB / 3.827GiB     8.14%     362kB / 1.49MB    28MB / 0B         21
c0105dcf8c24   docker-compose-carts-1          0.64%     461.9MiB / 3.827GiB   11.79%    203kB / 180kB     34.5MB / 0B       53
f941f51070bf   docker-compose-user-sim-1       0.00%     7.203MiB / 3.827GiB   0.18%     872B / 126B       3.64MB / 0B       2
33ef7db2853f   docker-compose-shipping-1       0.28%     426.2MiB / 3.827GiB   10.88%    28.6kB / 25.2kB   24MB / 0B         53
5d051b743dc7   docker-compose-catalogue-1      0.00%     19.13MiB / 3.827GiB   0.49%     137kB / 124kB     8.07MB / 0B       8
71d7965b9cc9   docker-compose-edge-router-1    0.05%     35.07MiB / 3.827GiB   0.90%     1.48MB / 1.49MB   13.7MB / 0B       15
