CONTAINER ID   NAME                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a1b3d68a6891   docker-compose-catalogue-db-1   0.06%     153.2MiB / 3.827GiB   3.91%     61.9kB / 238kB    35.9MB / 33.6MB   29
ca2e131a2cc5   docker-compose-carts-db-1       0.56%     53.9MiB / 3.827GiB    1.38%     149kB / 164kB     26.5MB / 4.06MB   21
6e7a674b7bed   docker-compose-orders-db-1      0.20%     41.01MiB / 3.827GiB   1.05%     53.4kB / 45.4kB   17.9MB / 5.5MB    20
14489b9afc46   docker-compose-rabbitmq-1       0.24%     83.17MiB / 3.827GiB   2.12%     28.9kB / 23.8kB   30.2MB / 6.06MB   145
f6499e7f64ac   docker-compose-user-1           0.18%     26.54MiB / 3.827GiB   0.68%     427kB / 410kB     9.43MB / 53.2kB   13
3af099106cc9   docker-compose-payment-1        0.00%     12.65MiB / 3.827GiB   0.32%     25.2kB / 7.44kB   7.96MB / 0B       9
d016a2ae56a0   docker-compose-queue-master-1   0.12%     614.6MiB / 3.827GiB   15.68%    22.3kB / 10.9kB   28MB / 50.3MB     70
1b87304437ac   docker-compose-user-db-1        0.70%     118.3MiB / 3.827GiB   3.02%     204kB / 279kB     38.9MB / 3.82MB   23
0c2a271e0f80   docker-compose-front-end-1      0.00%     287MiB / 3.827GiB     7.32%     698kB / 3.01MB    28.1MB / 37.7MB   21
c0105dcf8c24   docker-compose-carts-1          258.63%   418.4MiB / 3.827GiB   10.68%    3.27kB / 941B     42.4MB / 0B       40
f941f51070bf   docker-compose-user-sim-1       0.00%     6.945MiB / 3.827GiB   0.18%     1.04kB / 126B     139kB / 0B        2
33ef7db2853f   docker-compose-shipping-1       0.18%     397.6MiB / 3.827GiB   10.15%    30.3kB / 25.5kB   24MB / 26.3MB     53
5d051b743dc7   docker-compose-catalogue-1      0.00%     16.98MiB / 3.827GiB   0.43%     144kB / 134kB     6.3MB / 0B        8
71d7965b9cc9   docker-compose-edge-router-1    0.02%     27.66MiB / 3.827GiB   0.71%     3.03MB / 3.05MB   14.9MB / 549kB    15
