CONTAINER ID   NAME                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
a1b3d68a6891   docker-compose-catalogue-db-1   0.16%     153.4MiB / 3.827GiB   3.91%     63.2kB / 241kB    35.9MB / 33.6MB   29
ca2e131a2cc5   docker-compose-carts-db-1       0.39%     53.91MiB / 3.827GiB   1.38%     150kB / 165kB     26.5MB / 4.22MB   21
6e7a674b7bed   docker-compose-orders-db-1      0.22%     41.06MiB / 3.827GiB   1.05%     54.7kB / 47.7kB   17.9MB / 5.56MB   21
14489b9afc46   docker-compose-rabbitmq-1       1.04%     83.17MiB / 3.827GiB   2.12%     29.7kB / 24.1kB   30.2MB / 6.06MB   145
f6499e7f64ac   docker-compose-user-1           0.00%     26.59MiB / 3.827GiB   0.68%     428kB / 410kB     9.43MB / 53.2kB   13
3af099106cc9   docker-compose-payment-1        0.00%     12.66MiB / 3.827GiB   0.32%     25.8kB / 7.44kB   7.96MB / 0B       9
fc4c33298201   docker-compose-orders-1         379.39%   438.6MiB / 3.827GiB   11.19%    3.6kB / 983B      18.6MB / 0B       40
d016a2ae56a0   docker-compose-queue-master-1   0.22%     614.6MiB / 3.827GiB   15.68%    22.9kB / 11kB     28MB / 50.3MB     70
1b87304437ac   docker-compose-user-db-1        1.33%     119.6MiB / 3.827GiB   3.05%     205kB / 280kB     38.9MB / 3.88MB   23
0c2a271e0f80   docker-compose-front-end-1      0.00%     223.5MiB / 3.827GiB   5.70%     914B / 126B       1.5MB / 0B        21
c0105dcf8c24   docker-compose-carts-1          0.39%     429.8MiB / 3.827GiB   10.97%    4.67kB / 1.55kB   43.4MB / 0B       43
f941f51070bf   docker-compose-user-sim-1       0.00%     6.945MiB / 3.827GiB   0.18%     1.59kB / 126B     139kB / 0B        2
33ef7db2853f   docker-compose-shipping-1       0.30%     397.6MiB / 3.827GiB   10.15%    30.9kB / 25.6kB   24MB / 26.3MB     53
5d051b743dc7   docker-compose-catalogue-1      0.00%     17.03MiB / 3.827GiB   0.43%     148kB / 139kB     6.3MB / 0B        8
71d7965b9cc9   docker-compose-edge-router-1    0.14%     27.76MiB / 3.827GiB   0.71%     3.04MB / 3.07MB   14.9MB / 549kB    15
