CONTAINER ID   NAME                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
0f10ee85b7a2   docker-compose-front-end-2      1.60%     223.3MiB / 3.827GiB   5.70%     1.12kB / 126B     0B / 0B           21
295e5d75f3f7   docker-compose-front-end-3      0.54%     226.1MiB / 3.827GiB   5.77%     1.08kB / 126B     0B / 0B           21
a1b3d68a6891   docker-compose-catalogue-db-1   0.15%     58.98MiB / 3.827GiB   1.51%     182kB / 765kB     37.9MB / 71.6MB   31
ca2e131a2cc5   docker-compose-carts-db-1       0.89%     29.66MiB / 3.827GiB   0.76%     505kB / 533kB     26.8MB / 8.2MB    21
6e7a674b7bed   docker-compose-orders-db-1      0.71%     25.56MiB / 3.827GiB   0.65%     102kB / 64.5kB    18.1MB / 7.29MB   20
14489b9afc46   docker-compose-rabbitmq-1       1.79%     56.09MiB / 3.827GiB   1.43%     50.9kB / 44.9kB   31.8MB / 34MB     145
f6499e7f64ac   docker-compose-user-1           0.09%     35.62MiB / 3.827GiB   0.91%     1.04MB / 1MB      10.4MB / 885kB    13
3af099106cc9   docker-compose-payment-1        0.11%     14.07MiB / 3.827GiB   0.36%     5.63kB / 1.59kB   4.25MB / 0B       8
fc4c33298201   docker-compose-orders-1         286.02%   252.5MiB / 3.827GiB   6.44%     872B / 126B       0B / 0B           34
d016a2ae56a0   docker-compose-queue-master-1   0.51%     487.8MiB / 3.827GiB   12.45%    43.3kB / 16.1kB   37.8MB / 196MB    98
1b87304437ac   docker-compose-user-db-1        1.47%     102.4MiB / 3.827GiB   2.61%     477kB / 672kB     38.9MB / 9.49MB   23
0c2a271e0f80   docker-compose-front-end-1      0.00%     278.6MiB / 3.827GiB   7.11%     129kB / 140kB     0B / 0B           21
c0105dcf8c24   docker-compose-carts-1          0.29%     422.1MiB / 3.827GiB   10.77%    4.67kB / 1.55kB   7.23MB / 0B       43
33ef7db2853f   docker-compose-shipping-1       0.31%     354.9MiB / 3.827GiB   9.06%     70.5kB / 60.9kB   38.3MB / 82.4MB   53
71d7965b9cc9   docker-compose-edge-router-1    0.05%     34.42MiB / 3.827GiB   0.88%     8.16MB / 8.27MB   16.2MB / 1.99MB   15
